Nombre,Mes,Unidades,Importe (€)
Renee Martin,Enero,242,4380
Angelica Armstrong,Enero,270,2213
Chadwick Mosley,Enero,325,5675
Boris Vazquez,Enero,343,4298
Halee Combs,Enero,431,2636
Kirsten Whitfield,Enero,581,5085
Halee Combs,Febrero,181,2800
Angelica Armstrong,Febrero,297,1144
Emerson Stephens,Febrero,490,1544
Renee Martin,Febrero,531,1025
Chadwick Mosley,Marzo,200,3086
Halee Combs,Marzo,253,3250
Kirsten Whitfield,Marzo,280,2519
Priscilla Hull,Marzo,384,5380
Angelica Armstrong,Marzo,559,1079
Renee Martin,Marzo,576,5776
Renee Martin,Abril,229,3257
Boris Vazquez,Abril,230,2734
Kirsten Whitfield,Abril,277,4909
Shad Hines,Abril,339,2128
Chadwick Mosley,Abril,405,2761
Angelica Armstrong,Abril,436,3637
Stephanie Cummings,Abril,471,5977
Angelica Armstrong,Mayo,176,3139
Boris Vazquez,Mayo,285,1901
Emerson Stephens,Mayo,289,2239
Chadwick Mosley,Mayo,304,3475
Renee Martin,Mayo,324,5068
Stephanie Cummings,Mayo,431,1191
Kirsten Whitfield,Mayo,529,4551
Halee Combs,Junio,199,1687
Emerson Stephens,Junio,316,1146
Priscilla Hull,Junio,561,2580
Shad Hines,Julio,182,2903
Renee Martin,Julio,189,1794
Boris Vazquez,Julio,323,4983
Halee Combs,Julio,458,4869
Emerson Stephens,Julio,479,4929
Stephanie Cummings,Julio,533,4761
Priscilla Hull,Julio,550,4998
Boris Vazquez,Agosto,149,2787
Emerson Stephens,Agosto,180,4998
Kirsten Whitfield,Agosto,192,4793
Chadwick Mosley,Agosto,371,5351
Shad Hines,Agosto,433,4627
Stephanie Cummings,Agosto,504,2548
Angelica Armstrong,Agosto,571,4470
Shad Hines,Septiembre,243,4241
Priscilla Hull,Septiembre,386,4727
Halee Combs,Septiembre,576,2385
Shad Hines,Octubre,366,3424
Halee Combs,Octubre,418,1728
Emerson Stephens,Octubre,431,2316
Priscilla Hull,Octubre,464,4617
Angelica Armstrong,Octubre,495,4768
Emerson Stephens,Noviembre,110,2772
Angelica Armstrong,Noviembre,188,5062
Shad Hines,Noviembre,346,2061
Boris Vazquez,Noviembre,441,3999
Priscilla Hull,Noviembre,511,5626
Stephanie Cummings,Diciembre,111,4737
Boris Vazquez,Diciembre,358,3997
Angelica Armstrong,Diciembre,383,4461
Emerson Stephens,Diciembre,460,2949
Kirsten Whitfield,Diciembre,534,1922
